Date,signal,Settle,MA,Upper Band,Lower Band,Short Position Stop,Long Position Stop
2017-10-03,0.0,93.414,92.30680000000018,93.50741327661271,91.10618672338765,95.03442000000001,90.2972
2017-10-04,0.0,93.284,92.35840000000019,93.6316656282091,91.08513437179127,95.03442000000001,90.2972
2017-10-05,0.0,93.803,92.46645000000018,93.84094415785539,91.09195584214497,95.03442000000001,90.2972
2017-10-06,0.0,93.641,92.58220000000019,93.94287271596754,91.22152728403283,95.03442000000001,90.2972
2017-10-09,0.0,93.505,92.66480000000017,94.03888319980209,91.29071680019825,95.03442000000001,90.2972
2017-10-10,0.0,93.101,92.72705000000018,94.06115156659014,91.39294843341021,95.03442000000001,90.2972
2017-10-11,0.0,92.825,92.74290000000018,94.07374347688909,91.41205652311126,95.03442000000001,90.2972
2017-10-12,0.0,92.898,92.78220000000017,94.08226562910424,91.4821343708961,95.03442000000001,90.2972
2017-10-13,0.0,92.935,92.83580000000016,94.06639442546197,91.60520557453836,95.03442000000001,90.2972
2017-10-16,0.0,93.161,92.90265000000016,94.04846416904225,91.75683583095808,95.03442000000001,90.2972
2017-10-17,0.0,93.35,92.99210000000016,93.97235729274401,92.01184270725632,95.03442000000001,90.2972
2017-10-18,0.0,93.228,93.03870000000016,93.969525891334,92.10787410866632,95.03442000000001,90.2972
2017-10-19,0.0,93.12,93.09225000000018,93.90489207987136,92.279607920129,95.03442000000001,90.2972
2017-10-20,0.0,93.579,93.17285000000017,93.82748677713484,92.5182132228655,95.03442000000001,90.2972
2017-10-23,0.0,93.814,93.24150000000017,93.86181588725213,92.62118411274821,95.03442000000001,90.2972
2017-10-24,0.0,93.661,93.28550000000017,93.89363797774628,92.67736202225406,95.03442000000001,90.2972
2017-10-25,0.0,93.577,93.30580000000018,93.92431098614117,92.68728901385919,95.03442000000001,90.2972
2017-10-26,0.0,94.509,93.38465000000016,94.17159301571161,92.59770698428872,95.03442000000001,90.2972
2017-10-27,0.0,94.822,93.48160000000017,94.45347785239566,92.50972214760468,95.03442000000001,90.2972
2017-10-30,0.0,94.454,93.53405000000018,94.59305018412519,92.47504981587517,95.03442000000001,90.2972
2017-10-31,0.0,94.429,93.58480000000017,94.71106987883772,92.45853012116262,95.03442000000001,90.2972
2017-11-01,0.0,94.709,93.65605000000018,94.87377188531582,92.43832811468454,95.03442000000001,90.2972
2017-11-02,0.0,94.588,93.69530000000017,94.97829323457961,92.41230676542074,95.03442000000001,90.2972
2017-11-03,0.0,94.858,93.75615000000018,95.13493399685267,92.37736600314769,95.03442000000001,90.2972
2017-11-06,0.0,94.657,93.81375000000017,95.24114803487917,92.38635196512116,95.03442000000001,90.2972
2017-11-07,0.0,94.8,93.89870000000016,95.34836701003259,92.44903298996773,95.03442000000001,90.2972
2017-11-08,0.0,94.768,93.99585000000016,95.40452033403018,92.58717966597014,95.03442000000001,90.2972
2017-11-09,0.0,94.352,94.06855000000017,95.39048970739084,92.7466102926095,95.03442000000001,90.2972
2017-11-10,0.0,94.278,94.13570000000018,95.3527763492799,92.91862365072046,95.03442000000001,90.2972
2017-11-13,0.0,94.388,94.19705000000017,95.33236607492204,93.06173392507831,95.03442000000001,90.2972
2017-11-14,0.0,93.723,94.21570000000017,95.30611150029533,93.12528849970501,95.03442000000001,90.2972
2017-11-15,0.0,93.726,94.24060000000017,95.26009407059398,93.22110592940636,95.03442000000001,90.2972
2017-11-16,0.0,93.854,94.27730000000017,95.17881186346946,93.37578813653087,95.03442000000001,90.2972
2017-11-17,0.0,93.575,94.27710000000017,95.17923300570159,93.37496699429876,95.03442000000001,90.2972
2017-11-20,0.0,93.997,94.28625000000018,95.17299006900342,93.39950993099694,95.03442000000001,90.2972
2017-11-21,0.0,93.877,94.29705000000017,95.15795126610207,93.43614873389826,95.03442000000001,90.2972
2017-11-22,1.0,93.135,94.27495000000017,95.22656703955752,93.32333296044283,95.03442000000001,91.2723
2017-11-23,0.0,93.135,94.20625000000017,95.2719129626558,93.14058703734453,95.03442000000001,91.2723
2017-11-24,0.0,92.707,94.10050000000017,95.31071725321388,92.89028274678645,95.03442000000001,91.2723
2017-11-27,0.0,92.825,94.01905000000018,95.3375631739868,92.70053682601356,95.03442000000001,91.2723
