Date,Index
19990126,7270.54
19990127,7147.67
19990128,6600.87
19990129,6540.14
19990201,7035.88
19990202,7023.22
19990203,7230.40
19990204,7410.44
19990205,7161.45
19990208,7369.13
19990209,7529.78
19990210,7549.36
19990211,7717.71
19990212,7973.94
19990215,7973.94
19990216,8533.71
19990217,8329.75
19990218,8717.08
19990219,9004.75
19990222,9197.45
19990223,8886.58
19990224,9349.57
19990225,9237.37
19990226,9689.08
19990301,9558.28
19990302,8623.48
19990303,8731.27
19990304,8667.53
19990305,8176.08
19990308,8076.34
19990309,7864.74
19990310,7881.25
19990311,7854.45
19990312,7694.22
19990315,7498.02
19990316,7228.09
19990317,7241.83
19990318,7442.42
19990319,7659.74
19990322,7497.36
19990323,7474.86
19990324,7420.30
19990325,7281.54
19990326,7579.35
19990329,7827.96
19990330,7878.84
19990331,7581.02
19990401,7936.57
19990402,7795.30
19990405,7845.97
19990406,7550.17
19990407,7154.54
19990408,6865.50
19990409,7002.81
19990412,7264.72
19990413,7486.29
19990414,7291.65
19990415,7656.23
19990416,8358.30
19990419,8447.74
19990420,7615.64
19990421,8289.62
19990422,9318.36
19990423,8944.70
19990426,9027.88
19990427,8997.19
19990428,9170.83
19990429,9276.30
19990430,9611.17
19990503,10035.02
19990504,10023.98
19990505,10035.01
19990506,9804.21
19990507,8016.90
19990510,8036.94
19990511,7907.55
19990512,7449.70
19990513,7989.80
19990514,7885.94
19990517,8437.16
19990518,7859.22
19990519,8330.77
19990520,8312.44
19990521,8699.80
19990524,8741.56
19990525,8335.08
19990526,8690.99
19990527,8730.96
19990528,8228.93
19990531,8228.93
19990601,8638.74
19990602,9088.81
19990603,8620.74
19990604,8897.47
19990607,8382.30
19990608,8635.45
19990609,8889.33
19990610,8996.89
19990611,9120.15
19990614,8816.45
19990615,9310.17
19990616,9532.68
19990617,9617.52
19990618,9329.96
19990621,9417.66
19990622,9596.60
19990623,9381.63
19990624,9545.81
19990625,9940.05
19990628,9636.88
19990629,9347.77
19990630,10389.12
19990701,10645.73
19990702,11401.57
19990705,11407.27
19990706,13048.78
19990707,13344.99
19990708,13402.37
19990709,13852.69
19990712,14161.61
19990713,13763.67
19990714,13912.31
19990715,13986.05
19990716,14044.79
19990719,13581.31
19990720,12739.27
19990721,11571.08
19990722,12002.68
19990723,13080.52
19990726,12890.85
19990727,13235.04
19990728,13256.22
