,Date,Date2,Settle,Open,High,Low,Change %,MA,STD,Upper Band,Lower Band,Short Position Stop,Long Position Stop,Short Position Stop Clone,Long Position Stop Clone
129,01/07/2013,"Jul 01, 2013",1.3064,1.3006,1.3067,1.3001,0.42%,1.3200200000000002,0.012912342932248265,1.3458446858644968,1.2941953141355036,1.337947,1.2790799999999998,1.337947,1.2790799999999998
130,02/07/2013,"Jul 02, 2013",1.2979,1.3065,1.308,1.2964,-0.65%,1.3195100000000002,0.013558351669726715,1.3466267033394537,1.2923932966605467,1.337947,1.2790799999999998,1.337947,1.2790799999999998
131,03/07/2013,"Jul 03, 2013",1.3009,1.2978,1.3032,1.2923,0.23%,1.319085,0.013994794567980647,1.3470745891359615,1.2910954108640387,1.337947,1.2790799999999998,1.337947,1.2790799999999998
132,04/07/2013,"Jul 04, 2013",1.2913,1.3009,1.3024,1.2883,-0.74%,1.317415,0.01516869391213297,1.3477523878242659,1.2870776121757341,1.337947,1.2790799999999998,1.337947,1.2790799999999998
133,05/07/2013,"Jul 05, 2013",1.2832,1.2913,1.2918,1.2807,-0.63%,1.3154600000000003,0.01684064725596907,1.3491412945119385,1.281778705488062,1.337947,1.2790799999999998,1.337947,1.2790799999999998
134,08/07/2013,"Jul 08, 2013",1.287,1.2825,1.2883,1.2809,0.30%,1.313525,0.01775158795713718,1.3490281759142744,1.2780218240857257,1.337947,1.2790799999999998,1.337947,1.2790799999999998
135,09/07/2013,"Jul 09, 2013",1.2781,1.287,1.2899,1.2755,-0.69%,1.310855,0.018830333905695246,1.3485156678113905,1.2731943321886097,1.337947,1.2790799999999998,1.337947,1.2790799999999998
136,10/07/2013,"Jul 10, 2013",1.2976,1.2781,1.2985,1.2765,1.53%,1.30905,0.01827603622233153,1.3456020724446631,1.272497927555337,1.337947,1.2790799999999998,1.337947,1.2790799999999998
137,11/07/2013,"Jul 11, 2013",1.3096,1.298,1.3204,1.2965,0.92%,1.307655,0.017076664633351953,1.341808329266704,1.273501670733296,1.337947,1.2790799999999998,1.337947,1.2790799999999998
138,12/07/2013,"Jul 12, 2013",1.3068,1.3097,1.3103,1.3,-0.21%,1.30626,0.015910103708020637,1.3380802074160412,1.2744397925839588,1.337947,1.2790799999999998,1.337947,1.2790799999999998
