Date,ROR,Index,Leverage,,Settle,1.1
20140211,0.0127,711802.98,0.7,,629819.72,
20140212,-0.0116,703528.02,0.7,,618339.01,
20140213,0.0656,749691.01,0.7,,682080.93,
20140214,0.0179,763140.05,0.7,,701266.89,
20140217,0,763140.05,0.7,,701266.89,
20140218,0.0444,797006.93,0.7,,750195.28,
20140219,0.027,818528.65,0.7,,782025,
20140220,-0.0122,808510.33,0.7,,767032.46,
20140221,0.0122,818339.69,0.7,,781737.57,
20140224,0.0012,819332.88,0.7,,783211.7,
20140225,0.0068,824943.74,0.7,,791580.88,
20140226,0.0133,835912.51,0.7,,808124.92,
20140227,0.0148,848284.26,0.7,,826919.59,
20140228,0.0392,881503.02,0.7,,877857.84,
20140303,0.0267,905081.27,0.7,,914690.25,
20140304,-0.0727,839326.9,0.7,,810193.42,
20140305,-0.0333,811393.56,0.7,,767797.16,
20140306,0.011,820310.49,0.7,,781069.08,
20140307,0.0927,896360.84,0.7,,894848.53,
20140310,-0.0367,863500.42,0.7,,843241.33,
20140311,0.0062,868886.43,0.7,,851456.91,
20140312,-0.0303,842593.58,0.7,,810915.4,
20140313,0.0106,851544.98,0.7,,824422.94,
20140314,0.0089,859112.9,0.7,,835953.08,
20140317,-0.032,831594.47,0.7,,793916.58,
20140318,0.0199,848143.29,0.7,,818743.49,
20140319,-0.0576,799256.79,0.7,,744635.5,
20140320,0.0011,800127.97,0.7,,745922.66,
20140321,0.0016,801445.22,0.7,,747798.12,
20140324,-0.0297,777623.89,0.7,,712897.32,
20140325,0.011,786190.73,0.7,,725220.26,
20140326,-0.0076,780193.08,0.7,,716559.05,
20140327,0.0194,795313.9,0.7,,738403.87,
20140328,-0.0206,778903.5,0.7,,714500.68,
20140331,0.004,782015.54,0.7,,718991.83,
20140401,-0.0269,760950.3,0.7,,688599.02,
20140402,-0.0223,743955.74,0.7,,664468.54,
20140403,0.0083,750137.39,0.7,,673135.11,
20140404,-0.0161,738075.28,0.7,,656104.79,
20140407,-0.0197,723533.57,0.7,,635793.66,
20140408,0.0139,733597.74,0.7,,649681.21,
20140409,0.0401,763032.81,0.7,,690620.41,
20140410,-0.02,747782.05,0.7,,668915.19,
20140411,-0.0222,731165.96,0.7,,645579.61,
20140414,0.0021,732706.87,0.7,,647710.02,
20140415,0.0033,735159.8,0.7,,651068.86,
20140416,0.036,761645.73,0.7,,687900.76,
20140417,-0.0241,743320.28,0.7,,661848.97,
20140418,0,743320.28,0.7,,661848.97,
20140421,-0.0078,737526.13,0.7,,653736.6,
20140422,-0.0128,728058.03,0.7,,640587.15,
20140423,-0.0194,713929.92,0.7,,621058.39,
20140424,0.012,722493.68,0.7,,632769.78,
20140425,-0.0054,718604.58,0.7,,627400.28,
20140428,-0.0102,711289.46,0.7,,617343.95,
20140429,0.0094,717949.09,0.7,,626463,
20140430,0.0313,740434.61,0.7,,657276.03,
20140501,-0.0012,739545.08,0.7,,656036.59,
20140502,-0.0285,718470.4,0.7,,626655.53,
20140505,-0.0228,702088.53,0.7,,604203.35,
20140506,0.0745,754417.97,0.7,,674938.3,
20140507,-0.0542,713528.66,0.7,,617452.84,
20140508,0.0478,747637.79,0.7,,663832.37,
20140509,-0.0985,673980.09,0.7,,561080.61,
20140512,-0.0292,654296.37,0.7,,535335.02,
20140513,0,654273.94,0.7,,535335.02,
20140514,0.0472,685180.57,0.7,,575041.58,
20140515,0.0013,686074.21,0.7,,576216.31,
20140516,0.0083,691736.49,0.7,,583731.82,
20140519,-0.0199,677977.57,0.7,,565477.69,
20140520,-0.0011,677217.4,0.7,,564500.22,
20140521,0.015,687362.16,0.7,,577806.3,
20140522,-0.029,667458.65,0.7,,551474.84,
20140523,0.028,686166.5,0.7,,575739.73,
20140526,0,686166.5,0.7,,575739.73,
