Date,oprc,hprc,lprc,cprc,Settle,tvol,oint,padj,futc
27/09/2013,1.197153194,1.197153194,1.193251449,1.193934254,1.193934254,1100.02037,11337.4886,0.975436482,921694
30/09/2013,1.192471099,1.193934254,1.190812857,1.192080925,1.192080925,1194.337121,11429.75499,0.975436482,921694
01/10/2013,1.193641623,1.196177758,1.191203032,1.194909691,1.194909691,901.1350469,11464.61118,0.975436482,921694
02/10/2013,1.195202321,1.196177758,1.19169075,1.195397409,1.195397409,920.6135064,11639.91732,0.975436482,921694
03/10/2013,1.195592496,1.197250738,1.19276373,1.194714603,1.194714603,1591.082586,11226.76894,0.975436482,921694
04/10/2013,1.194421972,1.199299155,1.193251449,1.19890898,1.19890898,2430.706708,11049.41244,0.975436482,921694
07/10/2013,1.198616349,1.198616349,1.194714603,1.196470389,1.196470389,426.4757446,11044.28653,0.975436482,921694
08/10/2013,1.195885127,1.198713893,1.195885127,1.196372845,1.196372845,557.6990506,11009.43034,0.975436482,921694
09/10/2013,1.195982671,1.201152484,1.195787583,1.200177048,1.200177048,985.1999773,10809.51983,0.975436482,921694
10/10/2013,1.200859853,1.20212792,1.199494242,1.201737746,1.201737746,539.2457732,10762.36146,0.975436482,921694
11/10/2013,1.201250028,1.204566512,1.200567222,1.204468968,1.204468968,917.5379601,10886.40849,0.975436482,921694
14/10/2013,1.203005813,1.20505423,1.201542659,1.202323008,1.202323008,1231.243676,10249.77042,0.975436482,921694
15/10/2013,1.204664055,1.207102647,1.20290827,1.203786163,1.203786163,1742.809533,10669.06989,0.975436482,921694
16/10/2013,1.203298444,1.20612721,1.20290827,1.205444405,1.205444405,1579.805583,11085.29381,0.975436482,921694
17/10/2013,1.205249317,1.205541948,1.200664766,1.20290827,1.20290827,2337.415139,12559.50564,0.975436482,921694
18/10/2013,1.20398125,1.204664055,1.203200901,1.203688619,1.203688619,734.0303681,12757.36578,0.975436482,921694
21/10/2013,1.204273881,1.205151774,1.20183529,1.203200901,1.203200901,543.3465015,13089.52478,0.975436482,921694
22/10/2013,1.203883706,1.205932123,1.200177048,1.202518095,1.202518095,1250.722136,13398.10458,0.975436482,921694
23/10/2013,1.202323008,1.202323008,1.197836,1.198518806,1.198518806,697.1238133,13400.15495,0.975436482,921694
24/10/2013,1.198811436,1.201152484,1.198031087,1.200664766,1.200664766,581.2782384,13310.96411,0.975436482,921694
25/10/2013,1.200957397,1.204176337,1.199299155,1.201737746,1.201737746,416.2239238,13241.25172,0.975436482,921694
28/10/2013,1.201347571,1.204176337,1.201347571,1.20398125,1.20398125,272.6984328,13268.93164,0.975436482,921694
29/10/2013,1.204566512,1.206419841,1.203395988,1.204761599,1.204761599,664.3179868,12955.22592,0.975436482,921694
30/10/2013,1.205834579,1.206419841,1.203005813,1.204664055,1.204664055,484.9111231,13241.25172,0.975436482,921694
31/10/2013,1.204664055,1.205346861,1.199591786,1.200177048,1.200177048,1318.384153,13440.13705,0.975436482,921694
01/11/2013,1.201347571,1.202030377,1.199396698,1.200762309,1.200762309,775.0376513,13867.63797,0.975436482,921694
04/11/2013,1.200762309,1.20212792,1.198811436,1.19890898,1.19890898,307.5546235,13850.20988,0.975436482,921694
05/11/2013,1.199006524,1.20105494,1.198421262,1.199494242,1.199494242,503.3644005,13918.89708,0.975436482,921694
06/11/2013,1.200567222,1.202420551,1.200079504,1.202420551,1.202420551,374.1914586,13853.28543,0.975436482,921694
07/11/2013,1.201932833,1.205151774,1.197933544,1.199494242,1.199494242,1820.723371,13747.69167,0.975436482,921694
08/11/2013,1.199104067,1.202713182,1.198421262,1.201640202,1.201640202,1775.61536,12854.75808,0.975436482,921694
11/11/2013,1.201542659,1.202713182,1.201445115,1.202713182,1.202713182,246.0436988,12784.02052,0.975436482,921694
12/11/2013,1.202323008,1.203200901,1.200957397,1.202420551,1.202420551,615.109247,12654.84758,0.975436482,921694
